,Date,Name,Title
0,22/01/19,Andriy Stolyar,Bandersnatch: Netflix interactive movie's strength is in PR buzz
1,16/01/19,Toby  Holleran,Is Netflix on track for strong international but weak domestic Q4 performance?
2,18/12/18,Tony Maroulis,Retail offer gives turbo boost to Amazon Prime Video in newest markets
3,10/12/18,Daniel Gadher,Two companies soon to control one fifth of global content spend
4,5/12/18,Richard Broughton,SportsPro OTT Summit 2018 round-up
5,4/12/18,Orina Zhao,Rapid expansion and even higher growth potential in China’s SVoD market
6,28/11/18,Richard Cooper,Developing theatrical markets to become more dominant
7,21/11/18,Richard Broughton,SVoD and the silver screen
8,9/11/18,Isaq Chowdhury,Viacom to feed rather than fight SVoD services
9,1/11/18,Elinor Clark,High price of Netflix does nothing to dampen Danish SVoD growth
10,31/10/18,Ed Border,Mixed message for advertising future
11,18/12/18,Tony Maroulis,Retail offer gives turbo boost to Amazon Prime Video in newest markets
12,10/12/18,Daniel Gadher,Two companies soon to control one fifth of global content spend
13,5/12/18,Richard Broughton,SportsPro OTT Summit 2018 round-up
14,4/12/18,Orina Zhao,Rapid expansion and even higher growth potential in China’s SVoD market
15,28/11/18,Richard Cooper,Developing theatrical markets to become more dominant
16,21/11/18,Richard Broughton,SVoD and the silver screen
17,9/11/18,Isaq Chowdhury,Viacom to feed rather than fight SVoD services
18,1/11/18,Elinor Clark,High price of Netflix does nothing to dampen Danish SVoD growth
19,31/10/18,Ed Border,Mixed message for advertising future
20,28/11/18,Richard Cooper,Developing theatrical markets to become more dominant
21,21/11/18,Richard Broughton,SVoD and the silver screen
22,9/11/18,Isaq Chowdhury,Viacom to feed rather than fight SVoD services
23,1/11/18,Elinor Clark,High price of Netflix does nothing to dampen Danish SVoD growth
24,31/10/18,Ed Border,Mixed message for advertising future
25,26/10/18,Alexios Dimitropoulos,Sports streaming goes global
26,24/10/18,Hannah Walsh,SVoD-only homes exceed pay TV-only homes for first time
27,17/10/18,Lottie Towler,TV Binge-watching increasingly pronounced in mature SVOD markets
28,9/10/18,Richard Broughton,Interview: Twitter
29,5/10/18,Hazel  Ford,The sacking of Italy’s mobile networks: Iliad entrance likely to drop market value
30,3/10/18,Toby  Holleran,Is Sky the limit for Comcast? 
31,27/09/18,Richard Broughton,US Movie Audiences
32,19/09/18,Alexios Dimitropoulos,Fickle Fans: The World Cup effect
33,19/09/18,Alex Varatharajah,Euro content bonanza: SVoD giants face adding hundreds of titles to meet EU quotas
34,7/09/18,Fred Black,Netflix and Amazon's original drama strategy evolves
35,5/09/18,Henry Beckwith,Older Americans and younger Brits struggle to find TV to watch
36,29/08/18,Sarah Fisher,eSports gain in popularity as German broadcasters ramp up coverage
37,22/08/18,Daniel Gadher,Netflix and Amazon close content spending gap with top US broadcasters
38,15/08/18,Ed Border,Flow of content on UK SVoD shows evolving deal structure
39,14/08/18,Toby  Holleran,Comcast and Amazon: reducing churn with an SVoD stack?
40,9/08/18,Guy Bisson,Netflix's own Free Cash Flow drama has a $2 solution
41,30/07/18,Isaq Chowdhury,Netflix seeks diversity in international comedy
42,24/07/18,Ed Border,Local content: how channel localization varies significantly across markets
43,17/07/18,Hannah Walsh,Full stream ahead: how SVoD services are changing to meet consumer demand
44,10/07/18,Alex Varatharajah,Box office battleground: US SVoD majors vs. premium streamers
45,3/07/18,Alexios Dimitropoulos,OTT moves on the big leagues – DAZN's Serie A bid for glory
46,28/06/18,Richard Cooper,Amazon Prime is the USA’s SVoD TV Show market leader
47,18/06/18,Olivia Deane,Netflix Latin anime move driven by local demand
48,13/06/18,Alexios Dimitropoulos,EU big five football league values now closely aligned
49,1/06/18,Isaq Chowdhury,A quarter of digital retail titles discounted a year after release
50,30/05/18,Alex Varatharajah,"More content families, with the family content on Disney Life"
51,25/05/18,Bilal Hussain,Triple-play begins to take off in Turkey
52,22/05/18,Sarah Fisher,Smart TV overtakes mobile for weekly viewing among Millennials
53,17/05/18,Daniel Gadher,SVoD is disrupting the film industry but not necessarily cinema
54,9/05/18,Hamish McGregor,Public TV broadcasters holding strong in Western Europe
55,1/05/18,Guy Bisson,Kids' TV increasingly gender-neutral as commissioning reflects social zeitgeist
56,24/04/18,Tony Maroulis,Netflix is finally managing to buy more global content
57,19/04/18,Ed Border,Amazon Channels in numbers
58,10/04/18,Hannah Walsh,TV Everywhere vs. SVoD
59,4/04/18,Lottie Towler,The best things in life are free (TV)
60,27/03/18,Alexios Dimitropoulos,US market offering a good start for F1’s race to go direct
61,19/03/18,Richard Cooper,UK EST TV seasons favour older comedy and more recent documentaries 
62,14/03/18,Daniel Gadher,SVoD services - from complementary to competitive
63,7/03/18,Tony Maroulis,The state of cable: three different trends in three different business lines
64,7/03/18,Silvia Presello,Sweden's hidden cord-cutters...
65,1/03/18,Alex Varatharajah,US SVoD Observed Licensing Periods
66,22/02/18,Toby  Holleran,OSN: Orbit Showtime Net...flix?
67,15/02/18,Sarah Fisher,Apple expands into the growing smart-speaker market
68,7/02/18,Toby  Holleran,Regular smartphone video viewers could be a smart target for a subscription sports service
69,31/01/18,Ed Border,Refresh rates crucial for SVoD platforms in mature markets 
70,24/01/18,Richard Broughton,The slow but steady march towards quad-play
71,10/01/18,Hamish McGregor,Classic Christmas films still holding strong
72,8/01/18,Alexios Dimitropoulos,Profiling Sports Fans
73,2/01/18,Guy Bisson,Quality street: kids' TV content on UK SVoD
74,20/12/17,Hannah Walsh,What does the Disney-Fox deal mean for the future of SVoD?
75,13/12/17,Silvia Presello,Facebook's drive to monetise users in Europe
76,6/12/17,Alex Varatharajah,Is there enough quality locally produced content to meet the EU's Quota?
77,29/11/17,Tony Maroulis,Mobile video - have the stars finally aligned?
78,22/11/17,Lottie Towler,Cutting the cord on Pay TV in the US
79,17/11/17,Richard Cooper,Early retail discounts far from uncommon among new-release movie titles
80,11/11/17,Richard Broughton,Australia: SVoD investments drive local success
81,9/11/17,Sarah Fisher,Amazon's growing hardware ecosystem
82,1/11/17,Richard Broughton,On-demand and the shrinking window
83,26/10/17,Toby  Holleran,MENA: SVoD services and local originals
